,Asset_ID,ds,y
363,1051822,2024-03-24,105.0
364,1051822,2024-03-25,7.0
365,1051822,2024-03-25,24.0
366,1051822,2024-03-26,8.0
367,1051822,2024-03-26,102.0
368,1051822,2024-03-27,0.0
369,1051822,2024-03-28,0.0
370,1051822,2024-03-28,7.0
371,1051822,2024-03-29,23.0
372,1051822,2024-03-29,34.0
373,1051822,2024-03-30,8.0
374,1051822,2024-03-30,16.0
375,1051822,2024-03-31,6.0
376,1051822,2024-03-31,28.0
377,1051822,2024-04-01,0.0
378,1051822,2024-04-01,58.0
379,1051822,2024-04-02,0.0
380,1051822,2024-04-02,57.0
381,1051822,2024-04-03,9.0
382,1051822,2024-04-03,25.0
383,1051822,2024-04-04,12.0
384,1051822,2024-04-04,23.0
385,1051822,2024-04-05,5.0
386,1051822,2024-04-05,11.0
387,1051822,2024-04-06,42.0
388,1051822,2024-04-06,77.0
389,1051822,2024-04-07,90.0
390,1051822,2024-04-07,90.0
391,1051822,2024-04-08,0.0
392,1051822,2024-04-08,2.0
393,1051822,2024-04-09,0.0
394,1051822,2024-04-09,17.0
395,1051822,2024-04-10,31.0
396,1051822,2024-04-10,2.0
397,1051822,2024-04-11,20.0
398,1051822,2024-04-11,59.0
399,1051822,2024-04-12,0.0
400,1051822,2024-04-12,3.0
401,1051822,2024-04-13,53.0
402,1051822,2024-04-13,82.0
403,1051822,2024-04-14,32.0
404,1051822,2024-04-14,102.0
405,1051822,2024-04-15,25.0
406,1051822,2024-04-15,0.0
407,1051822,2024-04-16,0.0
408,1051822,2024-04-16,37.0
409,1051822,2024-04-17,0.0
410,1051822,2024-04-17,6.0
411,1051822,2024-04-18,26.0
412,1051822,2024-04-18,21.0
413,1051822,2024-04-19,11.0
414,1051822,2024-04-19,10.0
415,1051822,2024-04-20,15.0
416,1051822,2024-04-20,29.0
417,1051822,2024-04-21,2.0
418,1051822,2024-04-21,37.0
419,1051822,2024-04-22,6.0
420,1051822,2024-04-22,3.0
421,1051822,2024-04-23,0.0
422,1051822,2024-04-23,34.0
423,1051822,2024-04-24,0.0
424,1051822,2024-04-24,39.0
425,1051822,2024-04-25,33.0
426,1051822,2024-04-25,33.0
427,1051822,2024-04-26,27.0
428,1051822,2024-04-26,0.0
429,1051822,2024-04-27,22.0
430,1051822,2024-04-27,
431,1051822,2024-04-28,34.0
432,1051822,2024-04-28,49.0
433,1051822,2024-04-29,36.0
434,1051822,2024-04-29,28.0
